Date,Open,High,Low,Close,Volume
2016-01-01 08:00:00,429.17,436.49,426.26,433.98,13077.668908090154
2016-01-02 08:00:00,433.89,435.8,430,432.7,6347.952930870056
2016-01-03 08:00:00,432.66,433.07,421.73,428.39,19201.833363170073
2016-01-04 08:00:00,428.63,435.67,426.97,432.9,12950.38203246012
2016-01-05 08:00:00,432.61,434.91,427.91,431.84,11172.003817340024
2016-01-06 08:00:00,431.99,432.24,425.03,428.89,9440.11476438009
2016-01-07 08:00:00,428.2,462,427.11,458.78,55448.62348451022
2016-01-08 08:00:00,458.41,465,446.55,454,29967.953086949874
2016-01-09 08:00:00,454,456.01,447.07,449.23,8950.47934716013
2016-01-10 08:00:00,449.23,450.26,441.01,449.35,13778.255966589966
2016-01-11 08:00:00,449.34,452.49,443.42,449.26,14814.611919910152
2016-01-12 08:00:00,449.26,449.98,427.01,432.04,20739.28807916013
2016-01-13 08:00:00,431.99,436.36,416,431.11,33154.90771328927
2016-01-14 08:00:00,431.09,435,426,429.25,13304.537786190007
2016-01-15 08:00:00,429.27,429.43,357.02,359.16,123890.27071976822
2016-01-16 08:00:00,359.16,392.5,352.5,388.4,74062.26019306092
2016-01-17 08:00:00,388.43,393.31,378.76,382.02,20715.0043007396
2016-01-18 08:00:00,382.11,390,375.01,387.1,19469.044043689875
2016-01-19 08:00:00,387.04,388.61,377.41,378.93,17187.636038820216
2016-01-20 08:00:00,378.94,428,375.01,419.55,82802.50152887062
2016-01-21 08:00:00,419.65,424.57,405,411.01,29020.246475599495
2016-01-22 08:00:00,411,411.2,371.25,380.96,62213.91956269009
2016-01-23 08:00:00,381,394.81,379.85,385.57,21470.918502969747
2016-01-24 08:00:00,385.55,407.33,385.1,402.77,23219.927837279884
2016-01-25 08:00:00,402.76,402.77,384,390.96,22664.63967212988
2016-01-26 08:00:00,390.91,398,386.66,391.41,13322.870429170203
2016-01-27 08:00:00,391.23,396.99,389.66,394.97,8538.432035690046
2016-01-28 08:00:00,394.7,395.48,375.01,378.39,25024.08113808977
2016-01-29 08:00:00,378.15,386,360.03,377.6,62204.81102909039
2016-01-30 08:00:00,377.4,380.6,374,376.56,10501.947978230022
2016-01-31 08:00:00,376.31,378.9,362.57,365.52,14887.778690270176
2016-02-01 08:00:00,365.58,379.27,363.23,371.42,24797.196758549686
2016-02-02 08:00:00,371.22,374.8,369.69,372.9,10443.462138560173
2016-02-03 08:00:00,372.9,374,365.65,368.98,13195.150196850062
2016-02-04 08:00:00,369,393.89,368.65,389.96,37339.91926219932
2016-02-05 08:00:00,389.98,393,384.19,386.54,16879.235868740143
2016-02-06 08:00:00,386.54,386.54,365,373.75,40202.13384673973
2016-02-07 08:00:00,373.71,377.8,369.17,372.01,13056.062393660148
2016-02-08 08:00:00,372.26,377,369.01,370.49,16881.20552174015
2016-02-09 08:00:00,370.29,377.96,370.04,374.31,9216.51889923005
2016-02-10 08:00:00,374.43,387,373.13,381.17,33532.245858179536
2016-02-11 08:00:00,380.97,383.23,372.25,377.99,14521.328019790071
2016-02-12 08:00:00,378,383.53,377.04,382.94,10146.83584537006
2016-02-13 08:00:00,382.94,393,382.55,393,14755.537655910162
2016-02-14 08:00:00,392.99,408.66,392.93,408.3,29423.67609439953
